date,open,high,low,close,volume,amount
2012-04-25,16904.70,17402.80,16702.20,17184.70,21088813056.00,193120239616.00
2012-04-26,17341.10,17645.60,17019.80,17260.20,18950848512.00,182290808832.00
2012-04-27,17071.50,17338.70,16794.00,16994.10,14833897472.00,145415553024.00
2012-05-02,17516.00,17884.00,17217.50,17599.00,19878952960.00,205124812800.00
2012-05-03,17598.50,17961.70,17402.40,17745.20,16690267136.00,178604474368.00
2012-05-04,17673.50,18025.80,17479.80,17851.20,17125348352.00,182959882240.00
2012-05-07,18054.00,18448.70,17854.10,18271.70,17788401664.00,197062737920.00
2012-05-08,18342.70,18631.10,18049.00,18356.30,17142966272.00,187487338496.00
2012-05-09,18165.20,18401.70,17823.00,18003.60,16278290432.00,176540090368.00
2012-05-10,17702.30,18052.50,17531.70,17799.40,13451006976.00,146298781696.00
2012-05-11,17573.30,17856.40,17319.80,17478.30,13063680000.00,144314974208.00
2012-05-14,17522.20,17740.80,17141.00,17299.90,15164147712.00,162319859712.00
2012-05-15,16926.10,17221.30,16662.10,17063.00,13494511616.00,141470384128.00
2012-05-16,16766.00,17007.20,16467.00,16604.50,12828012544.00,132895522816.00
2012-05-17,16427.10,16831.30,16274.10,16686.20,14188166144.00,143573090304.00
2012-05-18,16450.70,16683.50,16131.50,16293.90,14538127360.00,142372143104.00
2012-05-21,15988.70,16314.20,15744.30,16033.60,12370754560.00,127149809664.00
2012-05-22,15919.50,16222.30,15790.30,16094.80,12739170304.00,133930074112.00
2012-05-23,16007.80,16285.90,15738.20,16037.60,14204407808.00,152411160576.00
2012-05-24,15879.70,16153.40,15640.70,15808.50,13526075392.00,143007776768.00
2012-05-25,15611.70,15816.80,15286.80,15451.60,12750960640.00,126928412672.00
2012-05-28,15461.20,15865.60,15141.10,15773.30,15916960768.00,154662682624.00
2012-05-29,16127.70,16593.90,15981.00,16396.60,19218284544.00,198224986112.00
2012-05-30,16365.70,16647.60,16192.90,16406.80,15387184128.00,159163940864.00
2012-05-31,16219.90,16539.40,16064.90,16320.40,14089254912.00,149458518016.00
2012-06-01,16164.20,16449.40,15965.70,16152.30,13392041984.00,145094541312.00
2012-06-04,15935.30,16190.20,15575.20,15690.10,15066902528.00,157269819392.00
2012-06-05,15449.70,15678.70,15195.20,15388.80,11201935360.00,117801394176.00
2012-06-06,15106.40,15307.50,14866.80,15039.20,10031637504.00,106675691520.00
2012-06-07,14927.90,15070.90,14575.50,14685.50,10685985792.00,111826386944.00
2012-06-08,14659.80,14794.40,14325.60,14454.20,11695870976.00,118748823552.00
2012-06-11,14298.60,14645.20,14140.20,14542.50,11513706496.00,119137083392.00
2012-06-12,14209.20,14418.20,14032.80,14205.50,10930438144.00,110482210816.00
2012-06-13,14275.30,14605.30,14140.90,14500.90,13530251264.00,140508250112.00
2012-06-14,14428.70,14641.70,14223.70,14344.60,12678590464.00,135107190784.00
2012-06-15,14334.50,14538.50,14051.70,14315.20,12222030848.00,130649333760.00
2012-06-18,14256.30,14499.00,14138.20,14347.10,11322176512.00,123427110912.00
2012-06-19,14200.20,14372.20,13975.40,14118.10,11416141824.00,122165157888.00
2012-06-20,13939.20,14103.60,13734.00,13854.80,10242007040.00,108254265344.00
2012-06-21,13669.60,13782.20,13346.00,13511.50,10832738304.00,112332234752.00
2012-06-25,13333.20,13477.70,12937.10,13039.90,10938309632.00,110598914048.00
2012-06-26,12752.20,12976.40,12525.10,12824.40,9906030592.00,98485960704.00
2012-06-27,12629.10,12871.30,12469.00,12618.30,9708867584.00,99807084544.00
2012-06-28,12518.40,12700.90,12243.30,12341.50,10140905472.00,104988164096.00
2012-06-29,12242.10,12596.80,12078.80,12506.10,10957440000.00,111582666752.00
2012-07-02,12638.60,12888.30,12459.40,12696.20,11319783424.00,125479346176.00
2012-07-03,12741.70,13007.10,12573.40,12782.90,11857087488.00,130410389504.00
2012-07-04,12711.00,12894.90,12491.20,12657.70,10526227456.00,113674354688.00
2012-07-05,12503.80,12622.40,12169.20,12325.50,10620752896.00,109507051520.00
2012-07-06,12605.80,12932.20,12352.60,12821.80,13496142848.00,144081797120.00
2012-07-09,12890.90,13128.40,12562.40,12682.20,13204877312.00,141625540608.00
2012-07-10,12526.30,12738.90,12281.60,12456.00,10426584064.00,109088677888.00
2012-07-11,12296.60,12596.30,12134.50,12468.90,10080346112.00,106360070144.00
2012-07-12,12712.00,13113.40,12518.40,12926.20,14063559680.00,154332921856.00
2012-07-13,12801.90,13072.10,12630.30,12831.40,10804461568.00,118801326080.00
2012-07-16,12883.40,13034.30,12374.30,12485.20,12668436480.00,131723132928.00
2012-07-17,12284.00,12586.90,12090.70,12433.10,9928213504.00,103929274368.00
2012-07-18,12381.40,12619.10,12098.70,12473.40,11744637952.00,116832100352.00
2012-07-19,12518.70,12873.10,12395.60,12660.40,13822760960.00,132488929280.00
2012-07-20,12497.60,12710.80,12289.40,12428.20,11363197952.00,107734073344.00
2012-07-23,12137.20,12328.20,11894.40,12108.90,9938026496.00,96126722048.00
2012-07-24,11819.80,12147.10,11731.60,11998.90,9527908352.00,92572852224.00
2012-07-25,11723.70,11913.10,11554.80,11676.00,9110949888.00,88936824832.00
2012-07-26,11510.60,11708.50,11318.90,11421.40,9677445120.00,94127161344.00
2012-07-27,11343.60,11487.70,11088.10,11240.20,9085193216.00,92310773760.00
2012-07-30,11078.70,11234.30,10778.90,10894.70,9114889216.00,84482015232.00
2012-07-31,10719.10,10886.60,10433.10,10605.20,9161493504.00,84578648064.00
2012-08-01,10462.50,10799.30,10404.20,10664.10,9364167680.00,86959161344.00
2012-08-02,10503.00,10672.60,10295.90,10463.30,9442331648.00,85202526208.00
2012-08-03,10433.90,10666.10,10307.30,10601.80,9891593216.00,93900013568.00
2012-08-06,10735.00,11108.70,10654.80,11033.10,12851517440.00,124948619264.00
2012-08-07,11187.60,11422.20,11069.70,11284.50,13446979584.00,127414902784.00
2012-08-08,11396.40,11589.10,11215.90,11374.10,12862289920.00,123549401088.00
2012-08-09,11512.30,11812.00,11375.80,11710.50,13414747136.00,133673508864.00
2012-08-10,11780.80,11964.60,11599.20,11745.00,12557187072.00,122703216640.00
2012-08-13,11805.30,11963.40,11487.70,11586.60,12877333504.00,123370037248.00
2012-08-14,11639.00,11864.20,11355.90,11732.80,12518894592.00,121453821952.00
2012-08-15,11539.00,11698.70,11335.40,11450.70,10280331264.00,96204242944.00
2012-08-16,11192.90,11365.50,11024.10,11133.00,8757559296.00,83577970688.00
2012-08-17,10921.00,11070.10,10733.80,10933.60,8312289792.00,82156077056.00
2012-08-20,10700.10,10908.60,10536.80,10817.10,8793760768.00,82595495936.00
2012-08-21,10869.20,11162.20,10785.00,11018.30,11608945664.00,112997507072.00
2012-08-22,11038.50,11186.10,10821.90,10953.70,11396879360.00,109259022336.00
2012-08-23,10969.60,11183.80,10840.50,11050.40,11348539392.00,110337540096.00
2012-08-24,11013.00,11141.50,10739.60,10827.70,11503794176.00,107452071936.00
2012-08-27,10764.80,10892.20,10450.90,10569.30,11019120640.00,99838746624.00
2012-08-28,10462.40,10707.70,10335.70,10550.60,9857438720.00,88665276416.00
2012-08-29,10415.60,10594.30,10240.00,10361.30,9748208640.00,89922183168.00
2012-08-30,10444.60,10639.80,10084.60,10319.80,11695469568.00,109015490560.00
2012-08-31,10076.60,10277.90,9962.40,10144.90,8407329792.00,73993920512.00
2012-09-03,10148.30,10469.30,10069.10,10366.20,10903216128.00,99224322048.00
2012-09-04,10365.80,10525.80,10179.20,10275.60,10638946304.00,99583967232.00
2012-09-05,10201.40,10422.90,10075.70,10279.50,10500368384.00,94473445376.00
2012-09-06,10236.50,10427.50,10141.20,10330.30,10440640512.00,93237608448.00
2012-09-07,11344.40,11887.10,11270.40,11696.00,24138346496.00,215983783936.00
2012-09-10,12257.20,12543.50,12101.60,12360.80,19099985920.00,178943082496.00
2012-09-11,12458.40,12631.50,12247.60,12465.60,15023092736.00,139792531456.00
2012-09-12,12678.10,12895.60,12473.20,12710.10,15427760128.00,142133411840.00
2012-09-13,12758.10,12935.30,12485.00,12572.60,14469881856.00,132748926976.00
2012-09-14,12899.70,13080.40,12611.30,12804.70,16026729472.00,145869455360.00
2012-09-17,12777.30,12908.30,12351.10,12426.80,13495980032.00,120638267392.00
2012-09-18,12096.30,12288.60,11914.50,12084.20,9618792448.00,87033962496.00
2012-09-19,11868.70,12085.30,11738.40,11966.50,9497635840.00,87221624832.00
2012-09-20,11886.60,11990.70,11475.50,11556.40,12162245632.00,107880054784.00
2012-09-21,11381.30,11623.00,11187.20,11355.10,10588375040.00,94123130880.00
2012-09-24,11101.30,11414.40,10932.60,11291.70,9854791680.00,86793543680.00
2012-09-25,10997.80,11182.20,10829.50,10958.80,8518140928.00,76265496576.00
2012-09-26,10709.10,10834.80,10404.20,10499.00,8904733696.00,75896774656.00
2012-09-27,10584.80,11038.80,10496.80,10890.30,12784064512.00,111242477568.00
2012-09-28,10958.70,11314.50,10885.40,11239.20,13137615872.00,118112370688.00
2012-10-08,11071.70,11229.30,10881.80,11024.80,9425616896.00,84614660096.00
2012-10-09,11238.60,11603.70,11190.80,11510.30,14502095872.00,129005191168.00
